seg_id,content

6f7caa7b33b74adbbcf86c9466ac4d35,"千仞雪脸上并没有绝望的神色，正相反，她的神色很平静，甚至是安详。<br>她用自己全部的力量，甚至是破碎了神位的力量发动了那最后的一击，此时，她心中默默的诉说着，比比东，你给予了我生命，我也用自己生命的代价偿还了你。我不再欠你。<br>血色的修罗魔剑，仿佛恒古杀神降临一般，别说已经不再是
        "

ad77eed1e96e4488b438e4115fca6b29,"将唐三轰飞的同时，比比东身体也是一阵晃动，哇的一声，喷出一口紫黑色的鲜血。但是，嘉陵关城头上观战的众人却都明白，这场战斗的结局已经注定了。<br>唐三的身体在空中倒飞，全身都不断有那紫色的电光闪烁着，恐怖的怨念正疯狂的冲击着他的神念，逼迫的他只能全力以赴的硬顶，凭借自己要高于比比东的神念
        "

0eb118b19c0a4681b11cdb97eb95e546,"比比东有些不敢相信自己的眼睛，三天的时间，不论是她还是千仞雪，凭借着强大的神力，她们的实力都已经完全恢复。但是，她却怎么也想不到，在这战场之中，竟然会再见到唐三。那原本应该已经魂飞魄散的海神。<br>“我就知道，他不会那么容易死的。”不知道为什么，再次看到唐三，千仞雪反而有一种如释重负的
        "

50b71254d7b24f0981b28b0a909efbe7,"奥斯卡和宁荣荣都在苦苦支撑着，他们已经将自己所有的能量全部燃烧起来，凝聚在一起，支撑着那降临的两大神诋释放神力。但是，正所谓人力有时尽，他们的意念再执着，能量也终究是有限的。眼看着复活的机会就在眼前，可他们所释放的魂力却已经再无法支持下去。两大神诋随时都有脱离的可能。<br>怎么办？怎么
        "

646f513d55da40adbad083916abca65e,"宁荣荣和奥斯卡对望了一眼，他们都看出了对方眼中的那份坚决。他们并没有告诉这些所有关注着唐三的人们，其实，对于复活唐三，他们甚至连半分把握都没有。<br>先前，当他们双手相握，出现那奇异光彩的时候，没错，他们心中都得到了提示。他们也没有说谎。十万年第九魂技的第二技能，正是武魂融合技复活
        "

2302b0e558964d1996a3fa0e71540073,"在小舞惊呼出声的同时，唐三和比比东最后的碰撞已经发生。<br>剑斗罗和骨斗罗并没有白死，他们的攻击虽然没能给比比东带来任何伤害，但毫无疑问，两位封号斗罗全力以赴的攻击还是令比比东要分神面对，控制那九柄魔镰也需要相当的神念和神力作为后盾，才能彻底击杀这两大强者。<br>比比东并没想到
        "

5dd647e5e23c4790910d0c75c7780cb7,"首先说一句，今天章节上的大结局指的是斗罗最后一集，不是最后一章。汗一下。这个标题本来是给繁体出版社写的，早上老婆传书就直接给放上去了，要是让大家误解了，小三先道歉。斗罗进入最后一周，最后的七章，麻烦大家把月票也最后的砸过来吧。谢谢。下面的话麻烦大家一定看一下，谢谢。<br>-----
        "

644b39b928264278a92511d7d74bfe20,"突然出现的武魂帝国军队中飞出的并不是两个人，应该说是两位神。天使之神千仞雪，与一身紫色神铠的罗刹神比比东。而此时唐三也已经看清，在下方统帅武魂帝国大军的，赫然正是武魂帝国圣女，胡列娜。<br>蓝色的光华围绕着唐三身体悄然成型，蓝光一闪，整个嘉陵关依旧已经变成了一片蓝色的世界，强行将那
        "

656d099401aa47c6b186be0cb6b3b35f,"柔和的能量托起雪崩，唐三微笑道：“陛下不必如此，我怎能当你如此大礼？”<br>雪崩执着的道：“老师，如果您当不起，就没有人能当得起了。雪崩这一拜不只是为了自己，也是为了我们的百万大军还有天斗帝国千千万万的百姓。”他这句话说的情真意切，唐三听得出，雪崩完全是发自肺腑说出。<br>雪崩
        "

a931c33139af4d8c824576c614e9a77c,"要知道，天使神装乃是天使之神性命交关的神器，虽然破碎之后也能够恢复，但对于天使之神本身来说却是元气大伤，这一击发出，千仞雪的实力将锐减九成，正是不成功则成仁。而且，在三天之内，她的实力都是只能在一成状态。<br>如果在这个时候，唐三不顾一切的将海之阳发出，千仞雪的搏命一击只是锁定着他
        "

2ca3c084d6674bacaedd9c3a8f7ed90f,"轰轰轰轰——，四声令整个嘉陵关都为之颤抖的剧烈轰鸣再次响起，接着幽冥白虎骤然冲入武魂帝国魂师军团中制造混乱的机会，唐门破城小队再次发起了冲锋。这一次他们的准备更加充分，助跑的距离也更远，因为城头的大混乱，御堂弟子也腾出一些人手帮助力堂弟子支撑着那巨大的撞城锤冲向城门，令那五十万斤的重量
        "

f32ea27f84ed4862957ccf64638ea21b,"天斗帝国百万大军骤然迸发出强横的战斗力，尤其是那默契的兵种配合以及整体调度，百万大军竟然丝毫不乱，井然有序。<br>这就是大国气象，是武魂帝国这临时拼凑起来的国家所无法拥有的。武魂帝国的成立，完全是凭借着武魂殿强大的实力和势力，以及占据了整个大陆百分之六十以上的魂师为基础，威逼利诱之
        "

29592024e2ea4ceba3d4db5c815c2373,"有点伤心，月票掉到第三位了。可以说，昨天小三是更新最多的一个，却被人家空口白话的拉票超过了。而且，咱们的日常更新都不比人家的爆发少啊！小三总不能把每天的更新减少，然后再把日常更新说成是爆发吧。难道在没有坐上上个月第一的情况下小三也爆发了一万七还不足以让书友们拿出自己的保底月票么？<br>
        "

f96db7c32edf4105a46d6c2ba69ef74f,"眼看着幽冥白虎和马红俊瞬间夹击，城头上的其他人想要再救援金鳄斗罗也已经来不及了，戴沐白和朱竹清所化的幽冥白虎与马红俊从天空中的攻击，形成了完美的空地一体。硬生生的将金鳄斗罗同时要承受他们两方面的进攻。尽管嘉陵关城头上有那么多的武魂帝国魂师，但此时金鳄斗罗的感觉却完全是孤立无援的。那种感
        "

f892324a3e744fc7a032be305c4c8d0e,"千仞雪不计一切代价的开始吸收太阳真火之力，唐三也不敢怠慢，开始在这万米高空之中吸收大海中的能量。<br>万米高空，对于唐三来说本来是应该有所影响的，但因为他这本不应该出现在海神神装中的外附魂骨八蛛矛所化海神八翼的存在，导致他在借助大海之力的时候就要轻松的多。尽管是在如此高空之中，却依
        "

ad68be96a1b24dcaa1f830ff170e61fd,"就在天斗帝国大军冲出营帐，准备与武魂帝国大军决一死战之时，唐三与伙伴们终于及时赶了回来。<br>当初，他击败千仞雪之后，只是耽误了几个时辰的工夫协助伙伴们完成各自的魂环吸收，又在紫珍珠岛短暂停留后，就与众人出发，急速回归。而千仞雪因为被唐三所伤，路上有所耽搁，回到嘉陵关后昨晚又休息了
        "

948a94760f474047afb4a8f250b89296,"六大供奉的目光都朝着那金光的方向看去，并不是那金光变得越来越亮，而是它距离这嘉陵关要塞越来越近，这金光来的好快，几乎就是三供奉说话的工夫，它就已经放大了十倍，众供奉凝望之时，已经隐约能够看清楚了。<br>“那是……”二供奉极目远眺，他的情绪瞬间变得激动起来，以他那百岁高龄，在这一刻也
        "

e0110db6b6a14425bc0df967b8ab4c9e,"在这个时候，唐三根本就没去思考这股修罗神之力与自身的关系，将它绞杀会不会对自己的身体有影响，他所想到的，就是小舞不能有事，哪怕是自己死了，也绝不能让这修罗之神的能量伤害到她。<br>唐三的反应不可谓不快，但是，这一切却来的太突然了。从那股修罗神之力涌入小舞体内，到唐三反应过来立刻救援
        "

